4.930765151977539s 	18506294 photons in 1008640 bins
6.299368858337402s 	18506294 photons in 1008640 bins
         9174210 function calls (9172717 primitive calls) in 11.281 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      158    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
       95    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:946(__init__)
       95    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:971(get_filename)
       95    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:976(get_data)
      147    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
       10    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
        4    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:4(cy_wrap)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:81(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
        5    0.000    0.000    0.016    0.003 __init__.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:102(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:1036(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1045(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1083(ServicerContext)
        1    0.000    0.000    0.000    0.000 __init__.py:1119(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1190(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1196(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1214(PlaceHolder)
        4    0.000    0.000    0.000    0.000 __init__.py:1220(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1256(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1261(__init__)
        8    0.000    0.000    0.000    0.000 __init__.py:1272(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1288(RpcMethodHandler)
        8    0.000    0.000    0.000    0.000 __init__.py:1323(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1324(HandlerCallDetails)
        1    0.000    0.000    0.000    0.000 __init__.py:1333(GenericRpcHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1347(_fixupChildren)
        1    0.000    0.000    0.000    0.000 __init__.py:1350(ServiceRpcHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1373(ServerInterceptor)
        1    0.000    0.000    0.000    0.000 __init__.py:1377(Logger)
        9    0.000    0.000    0.000    0.000 __init__.py:1392(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1398(Server)
        3    0.000    0.000    0.030    0.010 __init__.py:14(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:154(py_object)
        2    0.000    0.000    0.000    0.000 __init__.py:1589(addHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:163(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:167(c_ushort)
        1    0.000    0.000    0.002    0.002 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:171(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:1731(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1737(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1748(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:175(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:1821(LocalConnectionType)
        1    0.000    0.000    0.000    0.000 __init__.py:184(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:188(c_uint)
       12    0.000    0.000    0.000    0.000 __init__.py:189(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:1896(basicConfig)
        1    0.000    0.000    0.000    0.000 __init__.py:192(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:196(c_double)
        1    0.000    0.000    0.001    0.001 __init__.py:1962(insecure_channel)
        1    0.000    0.000    0.000    0.000 __init__.py:200(c_longdouble)
        8    0.000    0.000    0.000    0.000 __init__.py:2022(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:2083(Compression)
        1    0.000    0.000    0.000    0.000 __init__.py:211(ChannelConnectivity)
       16    0.000    0.000    0.000    0.000 __init__.py:214(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:2150(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:2166(createLock)
        1    0.000    0.000    0.000    0.000 __init__.py:221(c_ubyte)
       16    0.000    0.000    0.000    0.000 __init__.py:223(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:228(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:231(StatusCode)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char_p)
        2    0.000    0.000    0.000    0.000 __init__.py:242(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:244(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:249(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:254(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:259(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:266(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:286(Status)
        1    0.000    0.000    0.000    0.000 __init__.py:30(ChannelOptions)
        1    0.000    0.000    0.000    0.000 __init__.py:302(RpcError)
        1    0.000    0.000    0.000    0.000 __init__.py:309(RpcContext)
        1    0.000    0.000    0.000    0.000 __init__.py:319(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:33(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:340(__init__)
        6    0.000    0.000    0.000    0.000 __init__.py:345(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:359(Call)
        1    0.000    0.000    0.000    0.000 __init__.py:368(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:397(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:40(FutureTimeoutError)
        1    0.000    0.000    0.000    0.000 __init__.py:407(PercentStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:41(UsageError)
        1    0.000    0.000    0.000    0.000 __init__.py:410(ClientCallDetails)
        2    0.000    0.000    0.000    0.000 __init__.py:414(__init__)
       29    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
        2    0.000    0.000    0.000    0.000 __init__.py:420(validate)
        1    0.000    0.000    0.000    0.000 __init__.py:426(UnaryUnaryClientInterceptor)
        1    0.000    0.000    0.001    0.001 __init__.py:435(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:437(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:438(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:44(FutureCancelledError)
        1    0.000    0.000    0.000    0.000 __init__.py:460(UnaryStreamClientInterceptor)
        1    0.000    0.000    0.000    0.000 __init__.py:465(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:48(Future)
        1    0.000    0.000    0.000    0.000 __init__.py:494(StreamUnaryClientInterceptor)
        3    0.000    0.000    0.000    0.000 __init__.py:501(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:502(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:504(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:528(StreamStreamClientInterceptor)
        2    0.000    0.000    0.000    0.000 __init__.py:549(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:565(ChannelCredentials)
        1    0.000    0.000    0.000    0.000 __init__.py:574(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:578(CallCredentials)
        1    0.000    0.000    0.000    0.000 __init__.py:59(ExperimentalApiWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:595(AuthMetadataContext)
        1    0.000    0.000    0.000    0.000 __init__.py:604(AuthMetadataPluginCallback)
        1    0.000    0.000    0.000    0.000 __init__.py:617(AuthMetadataPlugin)
        1    0.000    0.000    0.000    0.000 __init__.py:634(ServerCredentials)
        1    0.000    0.000    0.000    0.000 __init__.py:645(ServerCertificateConfiguration)
        1    0.000    0.000    0.000    0.000 __init__.py:663(UnaryUnaryMultiCallable)
        1    0.000    0.000    0.000    0.000 __init__.py:683(BufferingFormatter)
        4    0.000    0.000    0.000    0.000 __init__.py:72(experimental_api)
        1    0.000    0.000    0.000    0.000 __init__.py:725(Filter)
        2    0.000    0.000    0.000    0.000 __init__.py:76(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:762(Filterer)
        1    0.000    0.000    0.000    0.000 __init__.py:765(UnaryStreamMultiCallable)
       12    0.000    0.000    0.000    0.000 __init__.py:767(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:800(StreamUnaryMultiCallable)
        3    0.000    0.000    0.000    0.000 __init__.py:834(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:844(Handler)
        3    0.000    0.000    0.000    0.000 __init__.py:853(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:882(createLock)
        1    0.000    0.000    0.000    0.000 __init__.py:904(StreamStreamMultiCallable)
        1    0.000    0.000    0.000    0.000 __init__.py:942(Channel)
        1    0.000    0.000    0.000    0.000 __init__.py:953(setFormatter)
        1    0.000    0.000    0.000    0.000 _base.py:113(_AllCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _base.py:143(_AcquireFutures)
        1    0.000    0.000    0.000    0.000 _base.py:314(Future)
